ADCRef50v,Battery-1,Battery-2,Battery-3,Battery-4,CRC8
4.54,4.38,12.49,0.01,0.01,218
4.54,4.38,12.49,0.01,0.01,218
4.54,4.38,12.49,0.01,0.01,218
4.54,4.37,12.48,0.01,0.01,163
4.54,4.38,12.49,0.01,0.01,218
4.54,4.38,12.49,0.01,0.01,218
4.54,4.37,12.48,0.01,0.01,163
4.54,4.37,12.48,0.01,0.01,163
4.54,4.38,12.51,0.01,0.01,76
4.54,4.38,12.49,0.01,0.01,218
4.54,4.37,12.48,0.01,0.01,163
4.54,4.38,12.49,0.01,0.01,218
4.54,4.37,12.48,0.01,0.01,163
4.54,4.36,12.51,0.01,0.01,207
4.54,4.37,12.48,0.01,0.01,163
4.54,4.36,12.48,0.01,0.01,140
4.54,4.37,12.48,0.01,0.01,163
4.54,4.36,12.49,0.01,0.01,89
4.54,4.38,12.49,0.01,0.01,218
4.54,4.37,12.48,0.01,0.01,163
4.54,4.38,12.49,0.01,0.01,218
4.54,4.38,12.49,0.01,0.01,218
4.54,4.36,12.49,0.01,0.01,89
4.54,4.36,12.49,0.01,0.01,89
4.54,4.37,12.48,0.01,0.01,163
4.54,4.37,12.48,0.01,0.01,163
4.54,4.38,12.49,0.01,0.01,218
4.54,4.36,12.49,0.01,0.01,89
4.54,4.38,12.49,0.01,0.01,218
4.54,4.38,12.49,0.01,0.01,218
4.54,4.38,12.49,0.01,0.01,218
4.54,4.38,12.49,0.01,0.01,218
4.54,4.37,12.48,0.01,0.01,163
4.54,4.37,12.48,0.01,0.01,163
4.54,4.38,12.49,0.01,0.01,218
4.54,4.37,12.48,0.01,0.01,163
4.54,4.36,12.48,0.01,0.01,140
4.54,4.38,12.49,0.01,0.01,218
4.54,4.38,12.49,0.01,0.01,218
4.54,4.37,12.48,0.01,0.01,163
4.54,4.36,12.49,0.01,0.01,89
4.54,4.36,12.48,0.01,0.01,140
4.54,4.38,12.49,0.01,0.01,218
4.54,4.38,12.49,0.01,0.01,218
4.54,4.37,12.48,0.01,0.01,163
4.54,4.37,12.48,0.01,0.01,163
4.54,4.37,12.48,0.01,0.01,163
4.54,4.38,12.49,0.01,0.01,218
4.54,4.37,12.48,0.01,0.01,163
4.54,4.37,12.48,0.01,0.01,163
4.54,4.37,12.48,0.01,0.01,163
4.54,4.37,12.48,0.01,0.01,163
4.51,4.39,12.53,0.01,0.01,41
4.52,4.39,12.53,0.01,0.01,137
4.47,4.40,12.56,0.01,0.01,49
4.46,4.38,12.50,0.01,0.01,60
4.45,4.38,12.41,0.01,0.01,33
4.45,4.36,12.43,0.01,0.01,17
4.45,4.37,12.48,0.01,0.01,166
4.45,4.34,12.48,0.01,0.01,215
4.45,4.36,12.48,0.01,0.01,137
4.46,4.38,12.52,0.01,0.01,143
4.45,4.37,12.48,0.01,0.01,166
4.45,4.37,12.48,0.01,0.01,166
4.45,4.37,12.47,0.01,0.01,65
4.45,4.37,12.48,0.01,0.01,166
4.46,4.38,12.50,0.01,0.01,60
4.45,4.37,12.48,0.01,0.01,166
4.46,4.38,12.50,0.01,0.01,60
4.45,4.37,12.48,0.01,0.01,166
4.45,4.37,12.48,0.01,0.01,166
4.45,4.37,12.47,0.01,0.01,65
4.45,4.36,12.48,0.01,0.01,137
4.46,4.38,12.49,0.01,0.01,127
4.45,4.37,12.48,0.01,0.01,166
4.46,4.38,12.50,0.01,0.01,60
4.45,4.37,12.48,0.01,0.01,166
4.46,4.38,12.49,0.01,0.01,127
4.45,4.37,12.48,0.01,0.01,166
4.45,4.37,12.48,0.01,0.01,166
4.45,4.37,12.48,0.01,0.01,166
4.45,4.37,12.48,0.01,0.01,166
4.45,4.37,12.47,0.01,0.01,65
4.45,4.37,12.48,0.01,0.01,166
4.45,4.37,12.47,0.01,0.01,65
4.45,4.36,12.48,0.01,0.01,137
4.46,4.38,12.49,0.01,0.01,127
4.45,4.37,12.48,0.01,0.01,166
4.46,4.38,12.49,0.01,0.01,127
4.45,4.37,12.48,0.01,0.01,166
4.46,4.38,12.49,0.01,0.01,127
4.45,4.36,12.48,0.01,0.01,137
4.46,4.38,12.49,0.01,0.01,127
4.45,4.37,12.48,0.01,0.01,166
4.46,4.38,12.47,0.01,0.01,77
4.45,4.36,12.47,0.01,0.01,110
4.46,4.38,12.49,0.01,0.01,127
4.45,4.37,12.48,0.01,0.01,166
4.46,4.38,12.47,0.01,0.01,77
4.45,4.37,12.48,0.01,0.01,166
4.46,4.38,12.49,0.01,0.01,127
4.45,4.37,12.47,0.01,0.01,65
4.46,4.38,12.49,0.01,0.01,127
4.45,4.37,12.47,0.01,0.01,65
4.45,4.37,12.46,0.01,0.01,148
4.45,4.36,12.47,0.01,0.01,110
4.45,4.37,12.47,0.01,0.01,65
4.45,4.37,12.47,0.01,0.01,65
4.45,4.37,12.47,0.01,0.01,65
4.46,4.38,12.49,0.01,0.01,127
4.45,4.37,12.48,0.01,0.01,166
4.46,4.38,12.49,0.01,0.01,127
4.45,4.37,12.47,0.01,0.01,65
4.46,4.38,12.47,0.01,0.01,77
4.45,4.36,12.47,0.01,0.01,110
4.45,4.37,12.46,0.01,0.01,148
4.46,4.38,12.49,0.01,0.01,127
4.45,4.37,12.47,0.01,0.01,65
4.46,4.38,12.50,0.01,0.01,60
4.45,4.36,12.47,0.01,0.01,110
4.46,4.38,12.47,0.01,0.01,77
4.45,4.36,12.47,0.01,0.01,110
4.45,4.37,12.46,0.01,0.01,148
4.45,4.37,12.47,0.01,0.01,65
4.45,4.37,12.47,0.01,0.01,65
4.46,4.38,12.49,0.01,0.01,127
4.45,4.36,12.47,0.01,0.01,110
4.45,4.37,12.46,0.01,0.01,148
4.45,4.37,12.47,0.01,0.01,65
4.45,4.37,12.47,0.01,0.01,65
4.46,4.38,12.49,0.01,0.01,127
4.45,4.36,12.47,0.01,0.01,110
4.45,4.37,12.46,0.01,0.01,148
4.45,4.37,12.47,0.01,0.01,65
4.45,4.37,12.47,0.01,0.01,65
4.46,4.38,12.49,0.01,0.01,127
4.45,4.36,12.47,0.01,0.01,110
4.45,4.37,12.46,0.01,0.01,148
4.46,4.38,12.49,0.01,0.01,127
4.45,4.37,12.47,0.01,0.01,65
4.46,4.38,12.49,0.01,0.01,127
4.45,4.37,12.47,0.01,0.01,65
4.46,4.38,12.47,0.01,0.01,77
4.46,4.38,12.49,0.01,0.01,127
4.45,4.37,12.47,0.01,0.01,65
4.46,4.38,12.46,0.01,0.01,152
4.46,4.36,12.49,0.01,0.01,252
4.45,4.37,12.46,0.01,0.01,148
4.46,4.38,12.49,0.01,0.01,127
4.46,4.36,12.49,0.01,0.01,252
4.46,4.38,12.47,0.01,0.01,77
4.45,4.36,12.47,0.01,0.01,110
4.46,4.38,12.49,0.01,0.01,127
4.46,4.38,12.49,0.01,0.01,127
4.45,4.36,12.47,0.01,0.01,110
4.46,4.38,12.47,0.01,0.01,77
4.45,4.37,12.47,0.01,0.01,65
4.45,4.37,12.47,0.01,0.01,65
4.46,4.38,12.47,0.01,0.01,77
4.45,4.37,12.47,0.01,0.01,65
4.45,4.37,12.46,0.01,0.01,148
4.45,4.37,12.47,0.01,0.01,65
4.45,4.37,12.47,0.01,0.01,65
4.46,4.38,12.46,0.01,0.01,152
4.45,4.36,12.46,0.01,0.01,187
4.45,4.37,12.46,0.01,0.01,148
4.46,4.38,12.47,0.01,0.01,77
4.45,4.36,12.46,0.01,0.01,187
4.46,4.38,12.47,0.01,0.01,77
4.45,4.37,12.47,0.01,0.01,65
4.45,4.37,12.47,0.01,0.01,65
4.46,4.38,12.47,0.01,0.01,77
4.45,4.36,12.47,0.01,0.01,110
4.46,4.38,12.47,0.01,0.01,77
4.46,4.38,12.49,0.01,0.01,127
4.46,4.38,12.49,0.01,0.01,127
4.46,4.38,12.47,0.01,0.01,77
4.45,4.37,12.46,0.01,0.01,148
4.46,4.38,12.46,0.01,0.01,152
4.45,4.37,12.47,0.01,0.01,65
4.49,4.36,12.47,0.01,0.01,220
4.54,4.36,12.45,0.01,0.01,216
4.54,4.36,12.47,0.01,0.01,107
4.54,4.36,12.47,0.01,0.01,107
4.54,4.36,12.47,0.01,0.01,107
4.54,4.36,12.47,0.01,0.01,107
4.54,4.36,12.47,0.01,0.01,107
4.54,4.36,12.47,0.01,0.01,107
4.54,4.36,12.47,0.01,0.01,107
4.54,4.37,12.45,0.01,0.01,247
4.54,4.37,12.45,0.01,0.01,247
4.54,4.36,12.45,0.01,0.01,216
4.54,4.36,12.46,0.01,0.01,190
4.54,4.37,12.46,0.01,0.01,145
4.54,4.37,12.46,0.01,0.01,145
4.54,4.37,12.46,0.01,0.01,145
4.54,4.37,12.46,0.01,0.01,145
4.54,4.37,12.46,0.01,0.01,145
4.54,4.36,12.46,0.01,0.01,190
4.54,4.37,12.46,0.01,0.01,145
4.54,4.37,12.46,0.01,0.01,145
4.54,4.37,12.46,0.01,0.01,145
4.54,4.37,12.46,0.01,0.01,145
4.54,4.37,12.46,0.01,0.01,145
4.54,4.36,12.46,0.01,0.01,190
4.54,4.37,12.46,0.01,0.01,145
4.54,4.37,12.46,0.01,0.01,145
4.54,4.37,12.46,0.01,0.01,145
4.54,4.37,12.46,0.01,0.01,145
4.54,4.37,12.46,0.01,0.01,145
4.54,4.37,12.46,0.01,0.01,145
4.54,4.37,12.46,0.01,0.01,145
4.54,4.37,12.45,0.01,0.01,247
4.54,4.37,12.45,0.01,0.01,247
4.54,4.37,12.45,0.01,0.01,247
4.54,4.37,12.45,0.01,0.01,247
4.54,4.37,12.46,0.01,0.01,145
4.54,4.37,12.45,0.01,0.01,247
4.54,4.37,12.46,0.01,0.01,145
4.54,4.37,12.46,0.01,0.01,145
4.54,4.36,12.45,0.01,0.01,216
4.54,4.37,12.45,0.01,0.01,247
4.54,4.37,12.45,0.01,0.01,247
4.54,4.37,12.45,0.01,0.01,247
4.54,4.37,12.45,0.01,0.01,247
4.54,4.37,12.45,0.01,0.01,247
4.54,4.37,12.45,0.01,0.01,247
4.54,4.37,12.45,0.01,0.01,247
4.54,4.37,12.45,0.01,0.01,247
4.54,4.36,12.45,0.01,0.01,216
4.54,4.37,12.45,0.01,0.01,247
4.54,4.37,12.45,0.01,0.01,247
4.54,4.37,12.45,0.01,0.01,247
4.54,4.37,12.45,0.01,0.01,247
4.54,4.37,12.46,0.01,0.01,145
4.54,4.37,12.46,0.01,0.01,145
4.54,4.37,12.45,0.01,0.01,247
4.54,4.37,12.45,0.01,0.01,247
4.54,4.37,12.46,0.01,0.01,145
4.54,4.37,12.45,0.01,0.01,247
4.54,4.37,12.45,0.01,0.01,247
4.54,4.37,12.45,0.01,0.01,247
4.54,4.37,12.45,0.01,0.01,247
4.54,4.37,12.45,0.01,0.01,247
4.54,4.37,12.45,0.01,0.01,247
4.54,4.37,12.45,0.01,0.01,247
4.54,4.37,12.45,0.01,0.01,247
4.54,4.37,12.45,0.01,0.01,247
4.54,4.37,12.45,0.01,0.01,247
4.54,4.36,12.45,0.01,0.01,216
4.54,4.37,12.45,0.01,0.01,247
4.54,4.36,12.45,0.01,0.01,216
4.54,4.37,12.45,0.01,0.01,247
