Battery-1,Battery-2,Battery-3,Battery-4
5.19,12.70,0.01,0.01
4.90,12.70,0.01,0.01
4.84,12.70,0.01,0.01
5.82,12.70,0.01,0.01
4.46,12.70,0.01,0.01
4.45,12.70,0.01,0.01
4.45,12.70,0.01,0.01
4.45,12.70,0.01,0.01
4.45,12.70,0.01,0.01
4.45,12.70,0.01,0.01
4.45,12.70,0.01,0.01
4.45,12.70,0.01,0.01
4.45,12.69,0.01,0.01
4.45,12.70,0.01,0.01
4.45,12.70,0.01,0.01
4.45,12.70,0.01,0.01
4.45,12.70,0.01,0.01
4.45,12.70,0.01,0.01
4.45,12.69,0.01,0.01
4.44,12.69,0.01,0.01
4.44,12.70,0.01,0.01
4.44,12.69,0.01,0.01
4.44,12.69,0.01,0.01
4.44,12.69,0.01,0.01
4.44,12.69,0.01,0.01
4.44,12.69,0.01,0.01
4.44,12.69,0.01,0.01
4.44,12.69,0.01,0.01
4.44,12.69,0.01,0.01
4.44,12.69,0.01,0.01
4.44,12.69,0.01,0.01
4.44,12.69,0.01,0.01
4.44,12.69,0.01,0.01
4.44,12.69,0.01,0.01
4.44,12.69,0.01,0.01
4.44,12.69,0.01,0.01
4.44,12.69,0.01,0.01
4.44,12.69,0.01,0.01
4.44,12.69,0.01,0.01
4.44,12.69,0.01,0.01
4.44,12.69,0.01,0.01
4.44,12.69,0.01,0.01
4.44,12.69,0.01,0.01
4.44,12.69,0.01,0.01
4.44,12.68,0.01,0.01
4.44,12.69,0.01,0.01
4.44,12.68,0.01,0.01
4.44,12.69,0.01,0.01
4.44,12.68,0.01,0.01
4.44,12.69,0.01,0.01
4.44,12.68,0.01,0.01
4.44,12.69,0.01,0.01
4.44,12.69,0.01,0.01
4.44,12.69,0.01,0.01
4.44,12.68,0.01,0.01
4.44,12.68,0.01,0.01
4.44,12.68,0.01,0.01
4.44,12.68,0.01,0.01
4.44,12.69,0.01,0.01
4.44,12.68,0.01,0.01
4.44,12.68,0.01,0.01
4.44,12.68,0.01,0.01
4.44,12.69,0.01,0.01
4.44,12.68,0.01,0.01
4.44,12.68,0.01,0.01
4.44,12.68,0.01,0.01
4.44,12.68,0.01,0.01
4.44,12.68,0.01,0.01
4.42,12.68,0.01,0.01
4.42,12.68,0.01,0.01
4.42,12.68,0.01,0.01
4.44,12.68,0.01,0.01
4.44,12.68,0.01,0.01
4.44,12.68,0.01,0.01
4.44,12.68,0.01,0.01
4.44,12.68,0.01,0.01
4.44,12.68,0.01,0.01
4.42,12.68,0.01,0.01
4.44,12.68,0.01,0.01
4.42,12.68,0.01,0.01
4.44,12.68,0.01,0.01
4.42,12.68,0.01,0.01
4.44,12.68,0.01,0.01
4.44,12.68,0.01,0.01
4.44,12.66,0.01,0.01
4.44,12.68,0.01,0.01
4.42,12.68,0.01,0.01
4.44,12.68,0.01,0.01
4.42,12.68,0.01,0.01
4.42,12.66,0.01,0.01
4.44,12.66,0.01,0.01
4.42,12.68,0.01,0.01
4.44,12.66,0.01,0.01
4.42,12.66,0.01,0.01
4.42,12.66,0.01,0.01
4.42,12.66,0.01,0.01
4.42,12.66,0.01,0.01
4.42,12.66,0.01,0.01
4.42,12.66,0.01,0.01
4.42,12.66,0.01,0.01
4.42,12.66,0.01,0.01
4.42,12.66,0.01,0.01
4.42,12.66,0.01,0.01
4.42,12.66,0.01,0.01
4.42,12.66,0.01,0.01
4.42,12.66,0.01,0.01
4.42,12.66,0.01,0.01
4.44,12.66,0.01,0.01
4.42,12.66,0.01,0.01
4.42,12.66,0.01,0.01
4.42,12.66,0.01,0.01
4.42,12.66,0.01,0.01
4.42,12.66,0.01,0.01
4.42,12.66,0.01,0.01
4.42,12.65,0.01,0.01
4.42,12.66,0.01,0.01
4.42,12.66,0.01,0.01
4.42,12.66,0.01,0.01
4.42,12.68,0.01,0.01
4.42,12.66,0.01,0.01
4.42,12.66,0.01,0.01
4.42,12.66,0.01,0.01
4.42,12.66,0.01,0.01
4.42,12.66,0.01,0.01
4.42,12.66,0.01,0.01
4.42,12.66,0.01,0.01
4.42,12.66,0.01,0.01
4.44,12.66,0.01,0.01
4.44,12.66,0.01,0.01
4.42,12.66,0.01,0.01
4.42,12.66,0.01,0.01
4.42,12.66,0.01,0.01
4.42,12.66,0.01,0.01
4.42,12.66,0.01,0.01
4.42,12.66,0.01,0.01
4.44,12.66,0.01,0.01
4.44,12.66,0.01,0.01
4.42,12.66,0.01,0.01
4.42,12.66,0.01,0.01
4.42,12.66,0.01,0.01
4.42,12.66,0.01,0.01
4.42,12.66,0.01,0.01
4.42,12.66,0.01,0.01
4.42,12.66,0.01,0.01
4.42,12.66,0.01,0.01
4.42,12.66,0.01,0.01
4.42,12.66,0.01,0.01
4.42,12.66,0.01,0.01
4.42,12.66,0.01,0.01
4.42,12.66,0.01,0.01
4.42,12.66,0.01,0.01
4.42,12.68,0.01,0.01
4.42,12.66,0.01,0.01
4.42,12.66,0.01,0.01
4.42,12.66,0.01,0.01
4.42,12.66,0.01,0.01
4.42,12.66,0.01,0.01
4.42,12.65,0.01,0.01
4.42,12.66,0.01,0.01
4.42,12.66,0.01,0.01
4.42,12.66,0.01,0.01
4.42,12.65,0.01,0.01
4.42,12.66,0.01,0.01
4.42,12.65,0.01,0.01
4.42,12.65,0.01,0.01
4.42,12.66,0.01,0.01
4.42,12.65,0.01,0.01
4.42,12.65,0.01,0.01
4.42,12.66,0.01,0.01
4.42,12.66,0.01,0.01
4.42,12.66,0.01,0.01
4.42,12.66,0.01,0.01
4.42,12.65,0.01,0.01
4.42,12.66,0.01,0.01
