Battery-1,Battery-2,Battery-3,Battery-4
6.54,12.91,0.01,0.01
6.54,12.91,0.01,0.01
6.54,12.91,0.01,0.01
6.53,12.91,0.01,0.01
6.53,12.91,0.01,0.01
6.53,12.93,0.01,0.01
6.53,12.91,0.01,0.01
6.53,12.91,0.01,0.01
6.53,12.91,0.01,0.01
6.53,12.90,0.01,0.01
6.53,12.90,0.01,0.01
6.53,12.91,0.01,0.01
6.54,12.90,0.01,0.01
6.54,12.91,0.01,0.01
6.54,12.91,0.01,0.01
6.53,12.90,0.01,0.01
6.54,12.90,0.01,0.01
6.53,12.90,0.01,0.01
6.53,12.90,0.01,0.01
6.53,12.90,0.01,0.01
6.53,12.90,0.01,0.01
6.53,12.91,0.01,0.01
6.53,12.90,0.01,0.01
6.53,12.90,0.01,0.01
6.53,12.90,0.01,0.01
6.53,12.91,0.01,0.01
6.53,12.91,0.01,0.01
6.53,12.90,0.01,0.01
6.53,12.90,0.01,0.01
6.53,12.90,0.01,0.01
6.53,12.90,0.01,0.01
6.53,12.90,0.01,0.01
6.53,12.90,0.01,0.01
6.53,12.90,0.01,0.01
6.52,12.90,0.01,0.01
6.53,12.90,0.01,0.01
6.53,12.90,0.01,0.01
6.53,12.90,0.01,0.01
6.53,12.90,0.01,0.01
6.53,12.90,0.01,0.01
6.53,12.90,0.01,0.01
6.52,12.90,0.01,0.01
6.52,12.90,0.01,0.01
6.53,12.90,0.01,0.01
6.53,12.90,0.01,0.01
6.53,12.90,0.01,0.01
6.53,12.90,0.01,0.01
6.53,12.90,0.01,0.01
6.53,12.90,0.01,0.01
6.53,12.90,0.01,0.01
6.53,12.89,0.01,0.01
6.53,12.89,0.01,0.01
6.53,12.89,0.01,0.01
6.53,12.90,0.01,0.01
6.53,12.90,0.01,0.01
6.53,12.90,0.01,0.01
6.53,12.90,0.01,0.01
6.53,12.89,0.01,0.01
6.53,12.90,0.01,0.01
6.53,12.90,0.01,0.01
6.53,12.90,0.01,0.01
6.53,12.90,0.01,0.01
6.53,12.90,0.01,0.01
6.53,12.90,0.01,0.01
6.53,12.90,0.01,0.01
6.53,12.89,0.01,0.01
6.53,12.89,0.01,0.01
6.52,12.90,0.01,0.01
6.52,12.90,0.01,0.01
6.52,12.90,0.01,0.01
6.52,12.90,0.01,0.01
6.52,12.89,0.01,0.01
6.52,12.89,0.01,0.01
6.52,12.89,0.01,0.01
6.52,12.89,0.01,0.01
6.53,12.89,0.01,0.01
6.53,12.89,0.01,0.01
6.52,12.89,0.01,0.01
6.52,12.89,0.01,0.01
6.52,12.89,0.01,0.01
6.52,12.89,0.01,0.01
6.52,12.89,0.01,0.01
6.52,12.89,0.01,0.01
6.52,12.89,0.01,0.01
6.52,12.89,0.01,0.01
6.52,12.88,0.01,0.01
6.53,12.89,0.01,0.01
6.52,12.89,0.01,0.01
6.52,12.89,0.01,0.01
6.52,12.88,0.01,0.01
6.52,12.89,0.01,0.01
6.52,12.88,0.01,0.01
6.52,12.88,0.01,0.01
6.52,12.88,0.01,0.01
6.52,12.88,0.01,0.01
6.52,12.88,0.01,0.01
6.52,12.88,0.01,0.01
6.52,12.88,0.01,0.01
6.52,12.88,0.01,0.01
6.52,12.88,0.01,0.01
6.52,12.88,0.01,0.01
6.52,12.89,0.01,0.01
6.52,12.88,0.01,0.01
6.52,12.88,0.01,0.01
6.52,12.88,0.01,0.01
6.52,12.88,0.01,0.01
6.52,12.86,0.01,0.01
6.52,12.88,0.01,0.01
6.52,12.88,0.01,0.01
6.52,12.88,0.01,0.01
6.52,12.88,0.01,0.01
6.52,12.88,0.01,0.01
6.52,12.88,0.01,0.01
6.52,12.88,0.01,0.01
6.50,12.88,0.01,0.01
6.52,12.88,0.01,0.01
6.52,12.88,0.01,0.01
6.52,12.86,0.01,0.01
6.52,12.88,0.01,0.01
6.52,12.88,0.01,0.01
6.50,12.88,0.01,0.01
6.52,12.86,0.01,0.01
6.52,12.88,0.01,0.01
6.52,12.86,0.01,0.01
6.50,12.88,0.01,0.01
6.52,12.86,0.01,0.01
6.50,12.86,0.01,0.01
6.52,12.86,0.01,0.01
6.52,12.86,0.01,0.01
6.50,12.86,0.01,0.01
6.50,12.86,0.01,0.01
6.50,12.86,0.01,0.01
6.50,12.86,0.01,0.01
6.50,12.86,0.01,0.01
6.50,12.86,0.01,0.01
6.50,12.86,0.01,0.01
6.50,12.86,0.01,0.01
6.50,12.86,0.01,0.01
6.50,12.86,0.01,0.01
6.50,12.86,0.01,0.01
6.50,12.86,0.01,0.01
6.50,12.86,0.01,0.01
6.50,12.86,0.01,0.01
6.50,12.86,0.01,0.01
6.50,12.86,0.01,0.01
6.50,12.86,0.01,0.01
6.50,12.86,0.01,0.01
6.50,12.86,0.01,0.01
6.50,12.86,0.01,0.01
6.50,12.86,0.01,0.01
6.50,12.86,0.01,0.01
6.50,12.85,0.01,0.01
6.50,12.86,0.01,0.01
6.50,12.86,0.01,0.01
6.50,12.85,0.01,0.01
6.50,12.85,0.01,0.01
6.50,12.86,0.01,0.01
6.50,12.86,0.01,0.01
6.50,12.86,0.01,0.01
6.50,12.86,0.01,0.01
6.50,12.85,0.01,0.01
6.50,12.85,0.01,0.01
6.50,12.85,0.01,0.01
6.50,12.86,0.01,0.01
6.50,12.85,0.01,0.01
6.50,12.85,0.01,0.01
6.50,12.85,0.01,0.01
6.50,12.85,0.01,0.01
6.50,12.85,0.01,0.01
6.50,12.85,0.01,0.01
6.50,12.85,0.01,0.01
6.50,12.85,0.01,0.01
6.50,12.85,0.01,0.01
6.50,12.85,0.01,0.01
6.50,12.85,0.01,0.01
6.50,12.85,0.01,0.01
6.49,12.85,0.01,0.01
6.49,12.85,0.01,0.01
6.49,12.84,0.01,0.01
6.49,12.85,0.01,0.01
6.49,12.85,0.01,0.01
6.50,12.85,0.01,0.01
6.50,12.84,0.01,0.01
6.49,12.84,0.01,0.01
6.49,12.84,0.01,0.01
6.50,12.84,0.01,0.01
6.50,12.84,0.01,0.01
6.50,12.84,0.01,0.01
6.49,12.84,0.01,0.01
6.49,12.84,0.01,0.01
6.49,12.84,0.01,0.01
6.49,12.84,0.01,0.01
6.50,12.84,0.01,0.01
6.49,12.84,0.01,0.01
6.49,12.84,0.01,0.01
6.49,12.84,0.01,0.01
6.49,12.84,0.01,0.01
6.49,12.84,0.01,0.01
6.49,12.84,0.01,0.01
6.49,12.84,0.01,0.01
6.49,12.84,0.01,0.01
6.49,12.82,0.01,0.01
6.49,12.84,0.01,0.01
6.49,12.84,0.01,0.01
6.49,12.82,0.01,0.01
6.49,12.84,0.01,0.01
6.49,12.84,0.01,0.01
6.49,12.84,0.01,0.01
6.49,12.82,0.01,0.01
6.49,12.84,0.01,0.01
6.49,12.82,0.01,0.01
6.49,12.82,0.01,0.01
6.49,12.82,0.01,0.01
6.49,12.82,0.01,0.01
6.49,12.82,0.01,0.01
6.49,12.82,0.01,0.01
6.49,12.82,0.01,0.01
6.49,12.82,0.01,0.01
6.49,12.82,0.01,0.01
6.49,12.82,0.01,0.01
6.49,12.82,0.01,0.01
6.49,12.82,0.01,0.01
6.49,12.82,0.01,0.01
6.49,12.81,0.01,0.01
6.49,12.82,0.01,0.01
6.49,12.81,0.01,0.01
6.49,12.81,0.01,0.01
6.49,12.81,0.01,0.01
6.48,12.81,0.01,0.01
6.48,12.81,0.01,0.01
6.48,12.81,0.01,0.01
6.48,12.82,0.01,0.01
6.49,12.81,0.01,0.01
6.49,12.81,0.01,0.01
6.49,12.81,0.01,0.01
6.48,12.81,0.01,0.01
6.48,12.81,0.01,0.01
6.48,12.81,0.01,0.01
6.48,12.81,0.01,0.01
6.48,12.81,0.01,0.01
6.49,12.81,0.01,0.01
6.48,12.81,0.01,0.01
6.48,12.81,0.01,0.01
6.49,12.81,0.01,0.01
6.49,12.81,0.01,0.01
6.49,12.81,0.01,0.01
6.49,12.81,0.01,0.01
6.49,12.81,0.01,0.01
6.49,12.82,0.01,0.01
6.48,12.81,0.01,0.01
6.49,12.81,0.01,0.01
6.49,12.81,0.01,0.01
6.49,12.81,0.01,0.01
6.48,12.81,0.01,0.01
6.48,12.81,0.01,0.01
6.48,12.81,0.01,0.01
6.48,12.81,0.01,0.01
6.48,12.80,0.01,0.01
6.48,12.80,0.01,0.01
6.48,12.81,0.01,0.01
6.48,12.81,0.01,0.01
6.48,12.80,0.01,0.01
6.48,12.81,0.01,0.01
6.48,12.81,0.01,0.01
6.48,12.81,0.01,0.01
6.48,12.81,0.01,0.01
6.48,12.81,0.01,0.01
6.48,12.80,0.01,0.01
6.48,12.81,0.01,0.01
6.48,12.80,0.01,0.01
6.49,12.81,0.01,0.01
6.48,12.81,0.01,0.01
6.48,12.81,0.01,0.01
6.48,12.80,0.01,0.01
6.48,12.80,0.01,0.01
6.48,12.81,0.01,0.01
6.48,12.81,0.01,0.01
6.48,12.80,0.01,0.01
6.48,12.80,0.01,0.01
6.48,12.80,0.01,0.01
6.48,12.80,0.01,0.01
6.48,12.80,0.01,0.01
6.48,12.80,0.01,0.01
6.48,12.80,0.01,0.01
6.48,12.80,0.01,0.01
6.48,12.80,0.01,0.01
6.48,12.80,0.01,0.01
6.48,12.80,0.01,0.01
6.48,12.80,0.01,0.01
6.48,12.80,0.01,0.01
6.48,12.80,0.01,0.01
6.48,12.78,0.01,0.01
6.48,12.80,0.01,0.01
6.48,12.80,0.01,0.01
6.48,12.80,0.01,0.01
6.46,12.80,0.01,0.01
6.48,12.80,0.01,0.01
6.46,12.80,0.01,0.01
6.46,12.80,0.01,0.01
6.46,12.80,0.01,0.01
6.46,12.80,0.01,0.01
6.46,12.80,0.01,0.01
6.46,12.80,0.01,0.01
6.46,12.80,0.01,0.01
6.46,12.78,0.01,0.01
6.46,12.80,0.01,0.01
6.46,12.80,0.01,0.01
6.46,12.80,0.01,0.01
6.46,12.80,0.01,0.01
6.46,12.78,0.01,0.01
6.46,12.80,0.01,0.01
6.46,12.78,0.01,0.01
6.46,12.78,0.01,0.01
6.46,12.78,0.01,0.01
6.46,12.78,0.01,0.01
6.46,12.78,0.01,0.01
6.46,12.78,0.01,0.01
6.46,12.78,0.01,0.01
6.46,12.78,0.01,0.01
6.46,12.78,0.01,0.01
6.46,12.78,0.01,0.01
6.46,12.78,0.01,0.01
6.46,12.78,0.01,0.01
6.46,12.78,0.01,0.01
6.46,12.78,0.01,0.01
6.46,12.78,0.01,0.01
6.46,12.78,0.01,0.01
6.46,12.78,0.01,0.01
6.46,12.78,0.01,0.01
6.46,12.78,0.01,0.01
6.46,12.78,0.01,0.01
6.46,12.78,0.01,0.01
6.46,12.78,0.01,0.01
6.46,12.78,0.01,0.01
6.46,12.78,0.01,0.01
6.46,12.78,0.01,0.01
6.46,12.78,0.01,0.01
6.46,12.78,0.01,0.01
6.46,12.78,0.01,0.01
6.46,12.78,0.01,0.01
6.46,12.78,0.01,0.01
6.46,12.78,0.01,0.01
6.46,12.77,0.01,0.01
6.46,12.77,0.01,0.01
6.46,12.77,0.01,0.01
6.46,12.77,0.01,0.01
6.46,12.77,0.01,0.01
6.46,12.77,0.01,0.01
6.46,12.78,0.01,0.01
6.45,12.77,0.01,0.01
6.45,12.78,0.01,0.01
6.46,12.78,0.01,0.01
6.46,12.77,0.01,0.01
6.46,12.77,0.01,0.01
6.46,12.78,0.01,0.01
6.46,12.77,0.01,0.01
6.46,12.77,0.01,0.01
6.45,12.77,0.01,0.01
6.46,12.78,0.01,0.01
6.46,12.77,0.01,0.01
6.46,12.77,0.01,0.01
6.46,12.77,0.01,0.01
6.46,12.77,0.01,0.01
6.46,12.77,0.01,0.01
6.46,12.78,0.01,0.01
6.46,12.77,0.01,0.01
6.46,12.78,0.01,0.01
6.46,12.78,0.01,0.01
6.46,12.78,0.01,0.01
6.46,12.78,0.01,0.01
6.46,12.77,0.01,0.01
6.46,12.78,0.01,0.01
6.46,12.77,0.01,0.01
6.46,12.77,0.01,0.01
6.46,12.77,0.01,0.01
6.46,12.77,0.01,0.01
6.46,12.78,0.01,0.01
6.46,12.77,0.01,0.01
6.46,12.77,0.01,0.01
6.46,12.78,0.01,0.01
6.46,12.78,0.01,0.01
6.46,12.77,0.01,0.01
6.46,12.77,0.01,0.01
6.46,12.77,0.01,0.01
6.45,12.77,0.01,0.01
6.46,12.77,0.01,0.01
6.46,12.77,0.01,0.01
6.46,12.77,0.01,0.01
6.45,12.77,0.01,0.01
6.45,12.77,0.01,0.01
6.45,12.77,0.01,0.01
6.45,12.77,0.01,0.01
6.45,12.77,0.01,0.01
6.45,12.77,0.01,0.01
6.45,12.77,0.01,0.01
6.45,12.76,0.01,0.01
6.45,12.77,0.01,0.01
6.45,12.77,0.01,0.01
6.45,12.77,0.01,0.01
6.45,12.77,0.01,0.01
6.45,12.77,0.01,0.01
6.45,12.77,0.01,0.01
6.45,12.77,0.01,0.01
6.45,12.77,0.01,0.01
6.45,12.77,0.01,0.01
6.45,12.77,0.01,0.01
6.45,12.77,0.01,0.01
6.45,12.77,0.01,0.01
6.45,12.76,0.01,0.01
6.45,12.77,0.01,0.01
6.45,12.76,0.01,0.01
6.45,12.76,0.01,0.01
6.45,12.77,0.01,0.01
6.45,12.76,0.01,0.01
6.45,12.76,0.01,0.01
6.45,12.77,0.01,0.01
6.45,12.76,0.01,0.01
6.45,12.76,0.01,0.01
6.45,12.77,0.01,0.01
6.45,12.76,0.01,0.01
6.45,12.76,0.01,0.01
6.45,12.76,0.01,0.01
6.45,12.76,0.01,0.01
6.45,12.76,0.01,0.01
6.45,12.76,0.01,0.01
6.45,12.76,0.01,0.01
6.45,12.76,0.01,0.01
6.45,12.76,0.01,0.01
6.45,12.76,0.01,0.01
6.45,12.76,0.01,0.01
6.45,12.76,0.01,0.01
6.45,12.76,0.01,0.01
6.45,12.76,0.01,0.01
6.45,12.76,0.01,0.01
6.44,12.76,0.01,0.01
6.45,12.76,0.01,0.01
6.44,12.76,0.01,0.01
6.44,12.76,0.01,0.01
6.44,12.76,0.01,0.01
6.44,12.74,0.01,0.01
6.44,12.76,0.01,0.01
6.44,12.74,0.01,0.01
6.44,12.74,0.01,0.01
6.44,12.76,0.01,0.01
6.44,12.76,0.01,0.01
6.44,12.76,0.01,0.01
6.44,12.74,0.01,0.01
6.44,12.74,0.01,0.01
6.44,12.76,0.01,0.01
6.44,12.74,0.01,0.01
6.44,12.76,0.01,0.01
6.44,12.76,0.01,0.01
6.44,12.74,0.01,0.01
6.42,12.76,0.01,0.01
6.44,12.74,0.01,0.01
6.44,12.74,0.01,0.01
6.44,12.74,0.01,0.01
6.44,12.74,0.01,0.01
6.44,12.74,0.01,0.01
6.44,12.73,0.01,0.01
6.44,12.74,0.01,0.01
6.44,12.74,0.01,0.01
6.44,12.74,0.01,0.01
6.44,12.74,0.01,0.01
6.41,12.74,0.01,0.01
6.41,12.74,0.01,0.01
6.44,12.73,0.01,0.01
6.44,12.74,0.01,0.01
6.44,12.74,0.01,0.01
6.44,12.74,0.01,0.01
6.44,12.73,0.01,0.01
6.44,12.74,0.01,0.01
6.44,12.74,0.01,0.01
6.44,12.73,0.01,0.01
6.44,12.73,0.01,0.01
6.44,12.73,0.01,0.01
6.44,12.74,0.01,0.01
6.44,12.74,0.01,0.01
6.44,12.74,0.01,0.01
6.44,12.73,0.01,0.01
6.44,12.73,0.01,0.01
6.44,12.74,0.01,0.01
6.44,12.73,0.01,0.01
6.44,12.73,0.01,0.01
6.44,12.73,0.01,0.01
6.44,12.73,0.01,0.01
6.44,12.74,0.01,0.01
6.44,12.73,0.01,0.01
6.44,12.74,0.01,0.01
6.44,12.73,0.01,0.01
6.44,12.73,0.01,0.01
6.44,12.73,0.01,0.01
6.44,12.73,0.01,0.01
6.44,12.73,0.01,0.01
6.44,12.73,0.01,0.01
6.44,12.73,0.01,0.01
6.44,12.73,0.01,0.01
6.44,12.73,0.01,0.01
6.44,12.73,0.01,0.01
6.44,12.73,0.01,0.01
6.44,12.73,0.01,0.01
6.44,12.73,0.01,0.01
6.44,12.74,0.01,0.01
